signal,mcu_pin,gpio_port,gpio_bit,direction,active_level,interface,required_v1,required_v2,risk_class,default_state,notes
USB_OTG_FS_DM,PA11,GPIOA,11,bidirectional,n/a,usb_fs,false,false,Reserved,reserved,USB FS MUST be preserved
USB_OTG_FS_DP,PA12,GPIOA,12,bidirectional,n/a,usb_fs,false,false,Reserved,reserved,USB FS MUST be preserved
SWDIO,PA13,GPIOA,13,bidirectional,n/a,swd,false,false,Reserved,reserved,2-wire SWD debug
SWCLK,PA14,GPIOA,14,input,n/a,swd,false,false,Reserved,reserved,2-wire SWD debug
RCC_OSC_IN,PH0,GPIOH,0,input,n/a,hse,false,false,Reserved,reserved,HSE crystal input
RCC_OSC_OUT,PH1,GPIOH,1,output,n/a,hse,false,false,Reserved,reserved,HSE crystal output
USART1_TX,PA9,GPIOA,9,output,high=idle,usart1_debug,false,false,Used,af,Debug UART TX
USART1_RX,PA10,GPIOA,10,input,n/a,usart1_debug,false,false,Used,af,Debug UART RX
I2C1_SCL,PB8,GPIOB,8,bidirectional,high=idle,i2c1_eeprom,false,false,Used,af,EEPROM bus
I2C1_SDA,PB9,GPIOB,9,bidirectional,high=idle,i2c1_eeprom,false,false,Used,af,EEPROM bus
I2C2_SCL,PH4,GPIOH,4,bidirectional,high=idle,i2c2_touch,false,false,Used,af,Touch bus
I2C2_SDA,PH5,GPIOH,5,bidirectional,high=idle,i2c2_touch,false,false,Used,af,Touch bus
TOUCH_INT,PG3,GPIOG,3,input,TBD,touch,false,false,Used,input,GT911 interrupt
TOUCH_RST,PG7,GPIOG,7,output,low=active,touch,false,false,Used,reset,GT911 reset
LCD_BL,PD13,GPIOD,13,output,TBD,backlight,false,false,Used,reset,LCD backlight control
BUZZER,PI8,GPIOI,8,output,TBD,buzzer,false,false,Used,reset,Board buzzer
BOARD_GPIO_PA0,PA0,GPIOA,0,input,n/a,board_gpio,false,false,Used,input,Board control or user GPIO
BOARD_GPIO_PC2,PC2,GPIOC,2,output,TBD,board_gpio,false,false,Used,set,Conflicting init behavior; treat as used
BOARD_GPIO_PC13,PC13,GPIOC,13,input,n/a,board_gpio,false,false,Used,input,Board control or user GPIO
USER_GPIO_PWM_GPIO0,PA6,GPIOA,6,bidirectional,TBD,user_gpio_pwm,false,false,Used,input,Reserved for user GPIO or TIM3 CH1
USER_GPIO_PWM_GPIO1,PA7,GPIOA,7,bidirectional,TBD,user_gpio_pwm,false,false,Used,input,Reserved for user GPIO or TIM3 CH2
USER_GPIO_PWM_GPIO2,PB0,GPIOB,0,bidirectional,TBD,user_gpio_pwm,false,false,Used,input,Reserved for user GPIO or TIM3 CH3
USER_GPIO_PWM_GPIO3,PB1,GPIOB,1,bidirectional,TBD,user_gpio_pwm,false,false,Used,input,Reserved for user GPIO or TIM3 CH4
USER_GPIO_PWM_GPIO4,PA3,GPIOA,3,bidirectional,TBD,user_gpio_pwm,false,false,Used,input,Reserved for user GPIO or TIM2 CH4
FMC_SDRAM,"PC0,PD0,PD1,PD8,PD9,PD10,PD14,PD15,PE0,PE1,PE7,PE8,PE9,PE10,PE11,PE12,PE13,PE14,PE15,PF0,PF1,PF2,PF3,PF4,PF5,PF11,PF12,PF13,PF14,PF15,PG0,PG1,PG2,PG4,PG5,PG8,PG15,PH6,PH7,PH8,PH9,PH10,PH11,PH12,PH13,PH14,PH15,PI0,PI1,PI2,PI3,PI4,PI5,PI6,PI7,PI9,PI10",multiple,multiple,mixed,TBD,fmc_sdram,false,false,Used,af,Summary row for active SDRAM interface
LTDC_RGB,"PI12,PI13,PI14,PI15,PJ0,PJ1,PJ2,PJ3,PJ4,PJ5,PJ6,PJ7,PJ8,PJ9,PJ10,PJ11,PJ12,PJ13,PJ14,PJ15,PK0,PK1,PK2,PK3,PK4,PK5,PK6,PK7",multiple,multiple,mixed,TBD,ltdc,false,false,Used,af,Summary row for display interface
QUADSPI,"PB2,PF6,PF7,PF8,PF9,PG6,PG9,PG14,PH2,PH3",multiple,multiple,mixed,TBD,quadspi,false,false,Used,af,Summary row for flash interface
SDMMC1,"PC8,PC9,PC10,PC11,PC12,PD2",multiple,multiple,mixed,TBD,sdmmc1,false,false,Used,af,Summary row for SD card interface
XHGC_D0,PE2,GPIOE,2,input,n/a,xhgc_cartridge,true,true,Preferred,input,Primary plan C low-byte bit 0
XHGC_D1,PE3,GPIOE,3,input,n/a,xhgc_cartridge,true,true,Preferred,input,Primary plan C low-byte bit 1
XHGC_D2,PE4,GPIOE,4,input,n/a,xhgc_cartridge,true,true,Preferred,input,Primary plan C low-byte bit 2
XHGC_D3,PE5,GPIOE,5,input,n/a,xhgc_cartridge,true,true,Preferred,input,Primary plan C low-byte bit 3
XHGC_D4,PE6,GPIOE,6,input,n/a,xhgc_cartridge,true,true,Preferred,input,Primary plan C low-byte bit 4
XHGC_D5,PD3,GPIOD,3,input,n/a,xhgc_cartridge,true,true,Preferred,input,Primary plan C low-byte bit 5
XHGC_D6,PD4,GPIOD,4,input,n/a,xhgc_cartridge,true,true,Preferred,input,Primary plan C low-byte bit 6
XHGC_D7,PD5,GPIOD,5,input,n/a,xhgc_cartridge,true,true,Preferred,input,Primary plan C low-byte bit 7
XHGC_D8,PD6,GPIOD,6,input,n/a,xhgc_cartridge,false,true,Preferred,input,Optional future 16-bit reserve
XHGC_D9,PD7,GPIOD,7,input,n/a,xhgc_cartridge,false,true,Preferred,input,Optional future 16-bit reserve
XHGC_D10,PD11,GPIOD,11,input,n/a,xhgc_cartridge,false,true,Preferred,input,Optional future 16-bit reserve
XHGC_D11,PD12,GPIOD,12,input,n/a,xhgc_cartridge,false,true,Preferred,input,Optional future 16-bit reserve
XHGC_D12,PC1,GPIOC,1,input,n/a,xhgc_cartridge,false,true,Preferred,input,Optional future 16-bit reserve
XHGC_D13,PC3,GPIOC,3,input,n/a,xhgc_cartridge,false,true,Preferred,input,Optional future 16-bit reserve
XHGC_D14,PC4,GPIOC,4,input,n/a,xhgc_cartridge,false,true,Preferred,input,Optional future 16-bit reserve
XHGC_D15,PC5,GPIOC,5,input,n/a,xhgc_cartridge,false,true,Preferred,input,Optional future 16-bit reserve
XHGC_I2C_SCL,PB6,GPIOB,6,bidirectional,high=idle,xhgc_cartridge,true,true,Preferred,high,Primary plan C control bus
XHGC_I2C_SDA,PB7,GPIOB,7,bidirectional,high=idle,xhgc_cartridge,true,true,Preferred,high,Primary plan C control bus
XHGC_RD_CLK,PG10,GPIOG,10,input,edge-triggered,xhgc_cartridge,true,true,Preferred,input,Primary plan C sample clock
XHGC_READY,PG11,GPIOG,11,input,TBD,xhgc_cartridge,true,true,Preferred,input,Primary plan C ready handshake
XHGC_RESET_N,PG12,GPIOG,12,output,low=active,xhgc_cartridge,true,true,Preferred,high,Primary plan C reset output
XHGC_CART_DET,PG13,GPIOG,13,input,TBD,xhgc_cartridge,true,true,"Usable with caution",input,Trace-related alternate function risk
XHGC_CS_N,PB10,GPIOB,10,output,low=active,xhgc_cartridge,false,true,Preferred,high,Optional reserve for richer link variants
XHGC_IRQ_N,PB11,GPIOB,11,input,low=active,xhgc_cartridge,false,false,Preferred,input,Optional or reserved
XHGC_WR_N,PB12,GPIOB,12,output,low=active,xhgc_cartridge,false,false,Preferred,high,Optional or reserved
XHGC_MODE0,PA1,GPIOA,1,output,TBD,xhgc_cartridge,false,false,Preferred,TBD,Optional or reserved
XHGC_MODE1,PA2,GPIOA,2,output,TBD,xhgc_cartridge,false,false,Preferred,TBD,Optional or reserved
